Complemento Pago,,PI,No.,Fecha,Fecha Afectaci�n,Cliente,Descripci�n,Subtotal,Impuestos,Total,Cobrado,Saldo,Divisa,ID Operacion,UUID
Timbrado,0,2,,30/05/2024,,INSTITUTO DEL DEPORTE DEL ESTADO DE YUCATAN,Pago Cliente 'INSTITUTO DEL DEPORTE DEL ESTADO DE YUCATAN',10416,1666.56,12082.56,12082.56,0,Peso mexicano,21406,744A63EE-8CB7-4DE0-B670-D7A02AF13465
Opcional,0,2,,28/05/2024,28/05/2024,IKTAN MOVIL,Cobro Cliente IKTAN MOVIL,24750,3960,28710,28710,0,Peso mexicano,21346,
Opcional,0,2,,27/05/2024,27/05/2024,DIGITAL CEL,Cobro Cliente DIGITAL CEL,75870,12139.2,88009.2,88009.2,0,Peso mexicano,21345,
Timbrado,0,3,,24/05/2024,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',5670,907.2,6577.2,6577.2,0,Peso mexicano,21343,E4446D37-1F01-4BB4-B6FA-7DD3519D311C
Timbrado,0,2,,23/05/2024,,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN,Pago Cliente 'SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN YUCATAN',15651,2504.16,18155.16,18155.16,0,Peso mexicano,21344,261C9BF5-9891-4560-B35F-19751A84260D
Timbrado,0,3,,21/05/2024,,CADENA COMERCIAL OXXO,Pago Cliente 'CADENA COMERCIAL OXXO',6570,1051.2,7621.2,7621.2,0,Peso mexicano,21335,2A83C7DE-26E2-41B8-9972-985145A4D5D6
Timbrado,0,2,,16/05/2024,,GRUPO BOXITO,Pago Cliente 'GRUPO BOXITO',18405,2944.8,21349.8,21349.8,0,Peso mexicano,21334,44C43758-1E88-4607-8CFA-A03C2BE0EF13
Timbrado,0,2,,13/05/2024,,PATRONATO DE LAS UNIDADES DE SERVICIOS CULTURALES Y TURISTICOS DEL ESTADO DE YUCATAN,Pago Cliente 'PATRONATO DE LAS UNIDADES DE SERVICIOS CULTURALES Y TURISTICOS DEL ESTADO DE YUCATAN',37695,6031.2,43726.2,43726.2,0,Peso mexicano,21333,A496480F-06EE-4085-963C-A257EA115465
Timbrado,0,2,,06/05/2024,,FARMACON,Pago Cliente 'FARMACON',3360,537.6,3897.6,3897.6,0,Peso mexicano,21323,711EF803-DD06-4226-8D28-E820C8FE7F53
Timbrado,0,2,,06/05/2024,,SECRETARIA DE ADMINISTRACION Y FINANZAS,Pago Cliente 'SECRETARIA DE ADMINISTRACION Y FINANZAS',177887,28461.92,206348.92,206348.92,0,Peso mexicano,21322,38F1EC62-3421-4CAD-8CE8-2EDED244ADF5
